ticker,name,sector,industry,market_cap,pe_ratio,ps_ratio,ev_to_ebitda,roe,profit_margin,debt_to_equity,dividend_yield,rev_growth_qoq,analyst_rec,target_price,current_ratio,quick_ratio,proxy_peg,free_cash_flow,ebit
MMM,3M Company,Industrials,Conglomerates,80316489728,25.415,3.2194,14.548,0.755,0.1303,276.638,2,0.02,buy,178.7329,1.708,1.195,12.71,1396000000,5159000000
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,9772948480,18.3558,2.5516,12.262,0.292,0.1426,10.974,1.94,0,hold,79.9091,1.497,0.899,,546000000,728600000
ABT,Abbott Laboratories,Healthcare,Medical Devices,1.90E+11,29.3226,4.276,16.52,0.1296,0.1472,26.787,2.27,0.044,buy,133.3892,1.576,1.023,6.66,7395000000,8959000000
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,4.06E+11,96.9705,6.6442,16.204,62.25,0.0691,,2.98,0.1,buy,248.8621,0.671,0.412,9.7,17816000000,9490000000
ACN,Accenture plc,Technology,Information Technology Services,1.33E+11,17.7874,1.8856,10.538,0.2502,0.1076,25.694,3.05,0.06,buy,286.1067,1.411,1.29,2.96,10874360000,10498948000
ADBE,Adobe Inc.,Technology,Software - Application,1.18E+11,16.8007,4.9442,12.52,0.5543,0.3,57.266,0,0.105,buy,399.9812,0.996,0.877,1.6,9852000000,8997000000
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,3.19E+11,75.0728,9.2226,47.241,0.0708,0.1252,6.359,0,0.341,buy,289.7174,2.85,1.784,2.2,6735000000,4271000000
AES,The AES Corporation,Utilities,Utilities - Diversified,10101436416,9.3322,0.8258,13.636,0.0195,0.0744,259.393,4.95,0.047,buy,15.3333,0.766,0.39,1.99,-4640000000,2379000000
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,58150436864,16.2683,3.3879,13.007,0.1312,0.2124,42.682,2.2,-0.099,hold,113,1.07,0.953,,,
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,32636866560,25.4163,4.6195,17.971,0.1995,0.1826,51.39,0.86,0.07,buy,161.7222,2.066,1.468,3.63,1152000000,1547000000
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,60985475072,,4.9954,95.454,-0.0167,-0.0273,101.991,2.62,0.058,buy,302.3632,1.459,1.008,,-3765800000,-226700000
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,79912214528,33.0757,6.5282,28.244,0.3023,0.2051,27.698,0,0.12,buy,144.8333,1.377,0.821,2.76,,2544000000
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,14443170816,32.4707,3.4322,16.193,0.0917,0.1074,114.024,0,0.074,buy,108.5922,2.363,2.047,4.39,699265000,633164000
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,19166670848,,3.7269,31.859,-0.0466,-0.0993,33.954,0.99,0.159,buy,188.74,2.229,1.325,,692466000,-344422000
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,8759467008,,2.9034,12.825,-0.0586,-0.4738,66.615,7.88,-0.052,hold,60.0714,1.617,1.369,,,-990028000
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12359297024,30.4876,3.0631,13.551,0.1039,0.1017,2.826,0,0.053,buy,200.1428,1.363,1.173,5.75,490778000,585311000
ALLE,Allegion plc,Industrials,Security & Protection Services,12946804736,20.1732,3.1831,14.817,0.3608,0.1583,104,1.37,0.093,hold,179.5455,1.842,1.091,2.17,685700000,869400000
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,18403569664,22.793,4.2191,16.261,0.113,0.1857,168.08,2.88,0.09,buy,74.0909,0.799,0.486,2.53,,1147000000
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,54762061824,5.5424,0.8091,4.723,0.3952,0.1519,25.091,2.04,0.051,buy,240.0952,0.366,0.236,1.09,9882000000,13555000000
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3.62E+12,27.6824,8.9779,23.838,0.3571,0.3281,16.133,0.28,0.18,strong_buy,376.86,2.005,1.847,1.54,73266000000,1.60E+11
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3.61E+12,27.6667,8.9728,23.841,0.3571,0.3281,16.133,0.28,0.18,strong_buy,359.2353,2.005,1.847,1.54,73266000000,1.60E+11
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,1.11E+11,16.068,5.5181,10.592,,0.345,,6.33,-0.005,buy,64.6667,0.648,0.517,,8611000000,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2.30E+12,29.9679,3.2129,16.509,0.2229,0.1083,43.435,0,0.136,strong_buy,280.4677,1.051,0.844,2.2,7695000000,99585000000
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19872583680,32.3383,1.0134,12.404,0.0773,0.0304,138.731,5.95,0.681,none,53.4909,1.301,0.641,0.47,810000000,1046000000
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,30829625344,20.8467,3.6399,13.665,0.1134,0.1719,147.125,2.69,-0.088,buy,115.5385,0.658,0.307,,-821000000,2373000000
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,71507304448,19.8812,3.2688,13.595,0.1249,0.1636,154.237,2.88,0.132,buy,136.3684,0.455,0.253,1.51,-1639000000,5750000000
AXP,American Express Company,Financial Services,Credit Services,2.06E+11,19.4691,3.0818,,0.3399,0.1617,190.921,1.24,0.106,buy,378.9365,1.405,1.391,1.84,16003000000,
AIG,"American International Group, I",Financial Services,Insurance - Diversified,42016788480,14.3407,1.5789,5.135,0.074,0.1163,24.408,2.25,-0.072,buy,87.45,0.622,0.222,,,4275000000
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,88250318848,34.9093,8.2906,19.927,0.2628,0.2376,434.211,3.62,0.075,buy,216.5238,0.397,0.342,4.65,3783600000,4403600000
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water,26547402752,23.9007,5.1649,15.08,0.105,0.2162,146.987,2.46,0.058,hold,137.7,0.462,0.209,4.12,-1242000000,2037000000
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,42846257152,12.7152,2.2657,,0.6051,0.1884,57.597,1.35,0.086,buy,570,2.29,1.46,1.48,8161000000,4830000000
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,51394166784,34.8836,6.9441,22.92,0.1459,0.2,24.194,0.6,0.134,buy,249.1765,1.062,0.573,2.6,1671515000,1879593000
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,1.98E+11,25.8187,5.3891,14.712,1.061,0.2098,640.275,2.74,0.086,buy,350.0357,1.14,0.734,3,8100000000,11731000000
APH,Amphenol Corporation,Technology,Electronic Components,1.65E+11,40.2006,7.1444,24.703,0.3685,0.1849,118.935,0.73,0.491,buy,169.4444,2.979,2.374,0.82,4378100000,5968500000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,1.56E+11,58.2834,13.2387,30.339,0.0786,0.2302,25.753,1.23,0.304,buy,383.0625,1.756,1.249,1.92,4278650000,3029828000
AON,Aon plc,Financial Services,Insurance Brokers,72825446400,19.9192,4.2387,15.225,0.4694,0.2151,168.318,0.88,0.037,buy,397.421,1.11,0.298,5.38,3218000000,5574000000
APA,APA Corporation,Energy,Oil & Gas E&P,11785485312,7.8804,1.357,3.234,0.2532,0.1651,68.685,3.09,-0.28,hold,28.6786,0.825,0.614,,709000000,1908000000
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,63149981696,19.639,1.9863,,0.147,0.1098,99.468,1.83,0.877,buy,156.8824,1.659,1.615,0.22,,7047000000
AAPL,Apple Inc.,Technology,Consumer Electronics,3.77E+12,32.4456,8.6602,25.147,1.5202,0.2704,102.63,0.4,0.157,buy,293.3134,0.974,0.845,2.07,98767000000,1.33E+11
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,2.63E+11,34.0472,9.3279,30.79,0.3886,0.2778,33.108,0.53,-0.021,buy,410.625,2.715,1.74,,5698000000,9540000000
APP,Applovin Corporation,Communication Services,Advertising Agencies,1.70E+11,50.244,31.0437,40.399,2.1294,0.6083,171.801,0,0.659,buy,648.57,3.322,3.229,0.76,3942776000,4159926000
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,15632265216,96.46,0.7664,6.864,0.0195,0.0081,85.209,0,0.05,buy,100.8824,1.736,1.168,19.29,1529000000,1280000000
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,35076808704,8.3388,1.7601,6.235,0.1954,0.2207,11.919,0,0.085,buy,109.3158,1.077,0.498,0.98,6128000000,5127000000
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,32620675072,30.3991,0.4064,16.271,0.0472,0.0134,42.376,3.13,-0.137,none,60.7273,1.365,0.287,,4204000000,1867000000
ARES,Ares Management Corporation,Financial Services,Asset Management,36417679360,64.3567,6.5014,36.197,0.1352,0.0942,163.448,4.61,0.195,buy,170.5882,0.472,0.406,3.3,3194781000,2054353000
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,1.71E+11,49.5127,19.0395,41.856,0.314,0.3899,0.179,0,0.289,strong_buy,178.0634,3.048,2.349,1.71,4252400000,3856100000
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,58533957632,39.6638,4.4995,20.492,0.0691,0.1148,58.354,1.22,0.367,buy,281.9444,1.056,0.202,1.08,1785000000,2510000000
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,11136035840,13.1418,0.869,7.697,0.159,0.0681,38.845,1.48,0.079,buy,261.3333,0.405,0.15,1.66,1598400000,1197100000
